State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
Alabama,2002,380805,499453,2812905,0.059732,0.062325,0.000914,0.063662,0.124672,0.025967
Alaska,2002,69400,62791,368460,0.077736,0.08425,0.001625,0.110781,0.239907,0.071362
Arizona,2002,485521,602265,3329482,0.064179,0.060101,0.001364,0.077371,0.15178,0.036657
Arkansas,2002,232986,302029,1687337,0.06671,0.071089,0.000991,0.07967,0.164807,0.033891
California,2002,3140739,3919577,21392421,0.058786,0.062674,0.001437,0.076595,0.160916,0.045736
Colorado,2002,385648,493921,2798960,0.075936,0.081015,0.001986,0.098228,0.216673,0.060119
Connecticut,2002,295157,323120,2235763,0.083099,0.082243,0.00134,0.092197,0.236209,0.042218
Delaware,2002,66477,88388,514059,0.079415,0.072098,0.001161,0.094062,0.22055,0.03956
District of Columbia,2002,33192,73655,372907,0.068901,0.081651,0.001692,0.074326,0.241396,0.069323
Florida,2002,1346297,1576278,11066322,0.067541,0.064396,0.001167,0.085194,0.176802,0.047513
Georgia,2002,748467,945489,5202846,0.059333,0.047582,0.001259,0.068659,0.130115,0.031782
Hawaii,2002,103803,122789,761280,0.070172,0.089015,0.000719,0.102273,0.169993,0.04901
Idaho,2002,128028,164566,794611,0.06364,0.054264,0.001324,0.079185,0.124741,0.031031
Illinois,2002,1082396,1380990,7825956,0.062369,0.068658,0.001266,0.07609,0.174317,0.032348
Indiana,2002,541577,704733,3788500,0.054761,0.075355,0.001268,0.073669,0.17192,0.039114
Iowa,2002,246347,351217,1847207,0.053682,0.071458,0.001062,0.071008,0.131444,0.030436
Kansas,2002,241178,319425,1645149,0.051272,0.076829,0.001083,0.073894,0.139181,0.027944
Kentucky,2002,327727,454574,2605898,0.069493,0.062944,0.001165,0.081571,0.141548,0.038175
Louisiana,2002,406965,537725,2668243,0.056358,0.079103,0.000922,0.069216,0.170381,0.033271
